Salomon Bochner,Lynn Loomis,
Salomon Bochner,Harry Rauch,
Salomon Bochner,Joseph H. Sampson,
Salomon Bochner,Herbert Scarf,
Salomon Bochner,William A. Veech,
Salomon Bochner,Gerard Washnitzer,
Salomon Bochner,Bernard Russell Gelbaum,
Richard Brauer,R. H. Bruck,German
Richard Brauer,S. A. Jennings,German
Richard Brauer,Peter Landrock,German
Richard Brauer,D. J. Lewis,German
Richard Brauer,J. Carson Mark,German
Richard Brauer,Cecil J. Nesbitt,German
Richard Brauer,Donald S. Passman,German
Richard Brauer,Ralph Stanton,German
Richard Brauer,Robert Steinberg,German
Richard Brauer,R. H. Bruck,German
Richard Brauer,Richard Hubert Bruck,German
Lothar Collatz,Frank Natterer,
Lothar Collatz,Heinz Unger,
Eberhard Hopf,Albert Schaeffer,German
Heinz Hopf,Beno Eckmann,German
Heinz Hopf,Hans Freudenthal,German
Heinz Hopf,Alfred Frölicher,German
Heinz Hopf,Werner Gysin,German
Heinz Hopf,Friedrich Hirzebruch,German
Heinz Hopf,Michel Kervaire,German
Heinz Hopf,Willi Rinow,German
Heinz Hopf,Hans Samelson,German
Heinz Hopf,Ernst Specker,German
Heinz Hopf,Eduard Stiefel,German
Heinz Hopf,James J. Stoker,German
Heinz Hopf,Alice Roth,German
Martin Kneser,Hans-Volker Niemeier,German
Martin Kneser,Albrecht Pfister,German
Martin Kneser,Ulrich Stuhler,German
Stefan Banach,Stanisław Mazur,
Aleksander Rajchman,Antoni Zygmund,
Aleksander Rajchman,Zygmunt Zalcwasser,
Stanisław Trybula,Zdzisław_Józef_Porosiński,
Shokichi Iyanaga,Goro Azumaya,Japanese
Shokichi Iyanaga,Akio Hattori,Japanese
Shokichi Iyanaga,Yasutaka Ihara,Japanese
Shokichi Iyanaga,Kiyoshi Itō,Japanese
Shokichi Iyanaga,Kenkichi Iwasawa,Japanese
Shokichi Iyanaga,Kunihiko Kodaira,Japanese
Shokichi Iyanaga,Michio Kuga,Japanese
Shokichi Iyanaga,Takashi Ono,Japanese
Shokichi Iyanaga,Mikio Sato,Japanese
Shokichi Iyanaga,Michio Suzuki,Japanese
Shokichi Iyanaga,Gaisi Takeuti,Japanese
Shokichi Iyanaga,Tsuneo Tamagawa,Japanese
Shokichi Iyanaga,Hidehiko Yamabe,Japanese
Shokichi Iyanaga,Nobuo Yoneda,Japanese
Shokichi Iyanaga,Kiyosi Itô,Japanese
Kenjiro Shoda,Masatoshi Gündüz Ikeda,Japanese
Kenjiro Shoda,Yozo Matsushima,Japanese
Lazarus Fuchs,Ernst Zermelo,German
Lazarus Fuchs,Gerhard Hessenberg,German
Lazarus Fuchs,Edmund Landau,German
Lazarus Fuchs,Hermann Schapira,German
Lazarus Fuchs,Ludwig Schlesinger,German
Lazarus Fuchs,Issai Schur,German
Lazarus Fuchs,Theodor Vahlen,German
Hermann Schwarz,Ernst Zermelo,Prussian
Hermann Schwarz,Lipót Fejér,Prussian
Hermann Schwarz,Harris Hancock,Prussian
Hermann Schwarz,Gerhard Hessenberg,Prussian
Hermann Schwarz,Paul Koebe,Prussian
Hermann Schwarz,Leon Lichtenstein,Prussian
Hermann Schwarz,Heinrich Maschke,Prussian
Hermann Schwarz,Robert Remak,Prussian
Hermann Schwarz,Rudolf Rothe,Prussian
Hermann Schwarz,Theodor Vahlen,Prussian
Alexandre Chorin,Phillip Colella,
Alexandre Chorin,Charles S. Peskin,
Alexandre Chorin,James Sethian,
Michael Ghil,Hervé Le Treut,
Kurt Otto Friedrichs,Cathleen Synge Morawetz,German American
Kurt Otto Friedrichs,Wolfgang R. Wasow,German American
Kurt Otto Friedrichs,Chia-Kun Chu,German American
Kurt Otto Friedrichs,Eugene Isaacson,German American
Kurt Otto Friedrichs,Peter Lax,German American
Kurt Otto Friedrichs,Leonard Sarason,German American
Kurt Otto Friedrichs,Cathleen Morawetz,German American
Louis Nirenberg,Sergiu Klainerman,
Louis Nirenberg,Walter Craig,
Louis Nirenberg,Peter B. Gilkey,
Louis Nirenberg,Djairo Guedes de Figueiredo,
Louis Nirenberg,YanYan Li,
Louis Nirenberg,Chang-Shou Lin,
Louis Nirenberg,Wei-Ming Ni,
Louis Nirenberg,Martin Schechter,
Louis Nirenberg,Gabriella Tarantello,
Joseph B. Keller,L. Mahadevan,
Joseph B. Keller,Herbert Bishop Keller,
Joseph B. Keller,George C. Papanicolaou,
John M. Greene,Robert Sinclair MacKay,
St. John's College,Steven Orszag,
Cambridge U.,Steven Orszag,
England,Steven Orszag,
Pafnuty Chebyshev,Andrei Markov,Russian
Pafnuty Chebyshev,Dmitry Grave,Russian
Pafnuty Chebyshev,Aleksandr Korkin,Russian
Pafnuty Chebyshev,Aleksandr Lyapunov,Russian
Pafnuty Chebyshev,Vladimir Andreevich Markov,Russian
Pafnuty Chebyshev,Konstantin Posse,Russian
Abram Besicovitch,Joseph Gillis,Russian Empire
Abram Besicovitch,Patrick Moran,Russian Empire
Abram Besicovitch,Gholamhossein Mosaheb,Russian Empire
Abram Besicovitch,P.A.P. Moran,Russian Empire
Nikolai Günther,Sergei Sobolev,Soviet
Veniamin Kagan,Viktor Wagner,
Veniamin Kagan,Isaak Yaglom,
J. V. Uspensky,Carl D. Olds,
J. V. Uspensky,Ivan Vinogradov,
J. V. Uspensky,Rodion Kuzmin,
Georgy Voronoy,Wacław Sierpiński,
Georgy Voronoy,Boris Delaunay,
Jacob T. Schwartz,Jerry Hobbs,
Jacob T. Schwartz,Ken Kennedy,
Jacob T. Schwartz,Robert Kupperman,
Jacob T. Schwartz,Stanley Osher,
Jacob T. Schwartz,Gian-Carlo Rota,
Jacob T. Schwartz,Shmuel Winograd,
Tom Apostol,Basil Gordon,
Tom Apostol,Abe Sklar,
Harold Stark,Jeffrey Hoffstein,
Harold Stark,Jeffrey Lagarias,
Harold Stark,M. Ram Murty,
Harold Stark,Andrew Odlyzko,
Harold Stark,Ram Murty,
Jacob David Tamarkin,Rose Sedgewick,Russian American
Jacob David Tamarkin,Dorothy Bernstein,Russian American
Jacob David Tamarkin,Nelson Dunford,Russian American
Jacob David Tamarkin,George Forsythe,Russian American
Jacob David Tamarkin,Margaret Gurney,Russian American
Jacob David Tamarkin,Derrick Lehmer,Russian American
Abraham Taub,Gene H. Golub,American
Abraham Taub,C. William Gear,American
Abraham Taub,Gene Golub,American
Dianne O'Leary,Misha Kilmer,
Dianne O'Leary,Tamara G. Kolda,
Beresford N. Parlett,Inderjit Dhillon,
Beresford N. Parlett,Anne Greenbaum,
James W. Demmel,Inderjit Dhillon,
James W. Demmel,Sherry Li,
Beresford Neill Parlett,Anne Greenbaum,
Beresford Neill Parlett,Inderjit Dhillon,
Harry Kesten,Maury Bramson,American
William LeVeque,Underwood Dudley,
Julius Plücker,C. Felix Klein,German
Julius Plücker,Felix Klein,German
Julius Plücker,August Beer,German
Rudolf Lipschitz,C. Felix Klein,Germany
Rudolf Lipschitz,Felix Klein,Germany
Ludwig Bieberbach,Heinz Hopf,
Ludwig Bieberbach,Werner Fenchel,
Ludwig Bieberbach,Maximilian Herzberger,
Ludwig Bieberbach,Kurt Schröder,
Ludwig Bieberbach,Wilhelm Süss,
Maxime Bôcher,William Brenke,American
Maxime Bôcher,David R. Curtiss,American
Maxime Bôcher,Griffith C. Evans,American
Maxime Bôcher,Lester R. Ford,American
Maxime Bôcher,Walter B. Ford,American
Maxime Bôcher,James W. Glover,American
Maxime Bôcher,Charles N. Moore,American
Maxime Bôcher,William H. Roever,American
Maxime Bôcher,Joseph L. Walsh,American
Maxime Bôcher,Joseph L. Walsh,American
Oskar Bolza,Gilbert Ames Bliss,German
Oskar Bolza,Arnold Dresden,German
Oskar Bolza,John Irwin Hutchinson,German
Oskar Bolza,Buz M. Walker,German
Oskar Bolza,Gilbert Bliss,German
Frank Nelson Cole,Eric Temple Bell,
Frank Nelson Cole,George Abram Miller,
